Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,No,Non-Travel,673,Research & Development,11,College Graduate,Other,Low Satisfaction,Female,96,Very High Involvement,Junior Level,Manufacturing Director,High Satisfaction,Divorced,4011,8232,0,No,18,Excellent Performance,Very High Satisfaction,1,5,5,Good Balance,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,Master’s Degree,Life Sciences,High Satisfaction,Male,82,Moderate Involvement,Entry Level,Sales Representative,Low Satisfaction,Single,3407,6986,7,No,23,Outstanding Performance,Moderate Satisfaction,0,10,4,Better Balance,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,Master’s Degree,Life Sciences,Low Satisfaction,Female,53,High Involvement,Mid Level,Research Director,Moderate Satisfaction,Single,11994,21293,0,No,11,Excellent Performance,High Satisfaction,0,13,4,Better Balance,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,College Graduate,Life Sciences,High Satisfaction,Male,96,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Single,1232,19281,1,No,14,Excellent Performance,Very High Satisfaction,0,0,6,Better Balance,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,High School or Below,Medical,Moderate Satisfaction,Male,83,High Involvement,Entry Level,Research Scientist,Low Satisfaction,Single,2960,17102,2,No,11,Excellent Performance,High Satisfaction,0,8,2,Better Balance,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,Bachelor’s Degree,Other,High Satisfaction,Female,58,High Involvement,Executive Level,Manager,High Satisfaction,Divorced,19094,10735,4,No,11,Excellent Performance,Very High Satisfaction,1,26,3,Good Balance,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,High School or Below,Life Sciences,Moderate Satisfaction,Female,72,Low Involvement,Entry Level,Research Scientist,Low Satisfaction,Single,3919,4681,1,Yes,22,Outstanding Performance,Moderate Satisfaction,0,10,5,Better Balance,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,Master’s Degree,Marketing,High Satisfaction,Male,48,High Involvement,Junior Level,Sales Executive,Moderate Satisfaction,Married,6825,21173,0,No,11,Excellent Performance,Very High Satisfaction,1,10,2,Better Balance,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,Master’s Degree,Medical,Low Satisfaction,Female,42,Moderate Involvement,Mid Level,Healthcare Representative,Very High Satisfaction,Married,10248,2094,3,No,14,Excellent Performance,Very High Satisfaction,1,24,4,Better Balance,22,6,5,17
46,No,Travel_Rarely,705,Sales,2,Master’s Degree,Marketing,Moderate Satisfaction,Female,83,High Involvement,Executive Level,Manager,Low Satisfaction,Single,18947,22822,3,No,12,Excellent Performance,Very High Satisfaction,0,22,2,Good Balance,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,Bachelor’s Degree,Medical,High Satisfaction,Male,78,High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Single,2496,6670,4,No,11,Excellent Performance,Very High Satisfaction,0,7,3,Better Balance,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,Master’s Degree,Other,Very High Satisfaction,Male,41,High Involvement,Junior Level,Healthcare Representative,Very High Satisfaction,Married,6465,19121,2,Yes,13,Excellent Performance,Very High Satisfaction,0,9,5,Excellent Balance,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,College Graduate,Medical,Very High Satisfaction,Male,83,Moderate Involvement,Entry Level,Laboratory Technician,High Satisfaction,Single,2206,16117,1,No,13,Excellent Performance,Low Satisfaction,0,10,5,Better Balance,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,Bachelor’s Degree,Technical Degree,Very High Satisfaction,Male,56,High Involvement,Junior Level,Sales Representative,Very High Satisfaction,Married,2086,3335,3,No,14,Excellent Performance,High Satisfaction,1,19,6,Excellent Balance,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor’s Degree,Medical,Moderate Satisfaction,Male,61,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Married,2293,3020,2,Yes,16,Excellent Performance,Low Satisfaction,1,6,2,Good Balance,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,College Graduate,Medical,Very High Satisfaction,Female,72,Very High Involvement,Entry Level,Research Scientist,High Satisfaction,Divorced,2645,21923,1,No,12,Excellent Performance,Very High Satisfaction,2,6,3,Good Balance,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,College Graduate,Marketing,Low Satisfaction,Male,86,Moderate Involvement,Entry Level,Sales Representative,High Satisfaction,Married,2683,3810,1,Yes,14,Excellent Performance,High Satisfaction,0,3,2,Better Balance,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,Bachelor’s Degree,Marketing,Very High Satisfaction,Female,97,High Involvement,Entry Level,Sales Representative,Very High Satisfaction,Married,2014,9687,1,No,13,Excellent Performance,Low Satisfaction,0,2,3,Better Balance,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,Master’s Degree,Life Sciences,Moderate Satisfaction,Female,82,Moderate Involvement,Entry Level,Research Scientist,Low Satisfaction,Married,3419,13072,9,Yes,14,Excellent Performance,Very High Satisfaction,1,6,3,Excellent Balance,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,Bachelor’s Degree,Life Sciences,High Satisfaction,Female,42,Very High Involvement,Junior Level,Sales Executive,Low Satisfaction,Married,5376,3193,2,No,19,Excellent Performance,Low Satisfaction,2,10,3,Better Balance,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,College Graduate,Other,High Satisfaction,Male,75,High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Divorced,1951,10910,1,No,12,Excellent Performance,High Satisfaction,1,1,3,Better Balance,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,Master’s Degree,Life Sciences,Very High Satisfaction,Female,33,High Involvement,Entry Level,Laboratory Technician,Low Satisfaction,Divorced,2341,19715,1,No,13,Excellent Performance,Very High Satisfaction,1,1,6,Better Balance,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor’s Degree,Life Sciences,Low Satisfaction,Male,48,Low Involvement,Entry Level,Laboratory Technician,High Satisfaction,Single,2293,10558,1,No,12,Excellent Performance,High Satisfaction,0,1,2,Good Balance,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Male,37,High Involvement,Mid Level,Sales Executive,High Satisfaction,Single,8726,2975,1,No,15,Excellent Performance,Very High Satisfaction,0,9,0,Better Balance,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,College Graduate,Medical,High Satisfaction,Female,58,High Involvement,Junior Level,Laboratory Technician,Very High Satisfaction,Single,4011,10781,1,No,23,Outstanding Performance,Very High Satisfaction,0,12,2,Better Balance,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor’s Degree,Technical Degree,Moderate Satisfaction,Female,49,High Involvement,Executive Level,Research Director,High Satisfaction,Married,19545,16280,1,No,12,Excellent Performance,Very High Satisfaction,0,23,0,Better Balance,22,15,15,8
34,No,Non-Travel,1065,Sales,23,Master’s Degree,Marketing,Moderate Satisfaction,Male,72,High Involvement,Junior Level,Sales Executive,High Satisfaction,Single,4568,10034,0,No,20,Outstanding Performance,High Satisfaction,0,10,2,Better Balance,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,College Graduate,Life Sciences,Moderate Satisfaction,Male,73,High Involvement,Entry Level,Research Scientist,Moderate Satisfaction,Married,3022,10227,4,No,21,Outstanding Performance,Low Satisfaction,0,8,1,Better Balance,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,Master’s Degree,Marketing,Low Satisfaction,Male,98,High Involvement,Junior Level,Sales Executive,Very High Satisfaction,Single,5772,20445,4,Yes,21,Outstanding Performance,High Satisfaction,0,14,4,Better Balance,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,High School or Below,Life Sciences,Very High Satisfaction,Male,36,Very High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Married,2269,4892,1,No,19,Excellent Performance,Very High Satisfaction,0,1,2,Better Balance,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,College Graduate,Life Sciences,Low Satisfaction,Male,98,Moderate Involvement,Mid Level,Laboratory Technician,High Satisfaction,Single,5381,19294,9,Yes,13,Excellent Performance,Very High Satisfaction,0,23,2,Better Balance,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,Master’s Degree,Technical Degree,High Satisfaction,Male,50,High Involvement,Entry Level,Laboratory Technician,High Satisfaction,Single,3441,11179,1,Yes,13,Excellent Performance,High Satisfaction,0,2,3,Good Balance,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,Doctorate,Marketing,Moderate Satisfaction,Female,75,High Involvement,Junior Level,Sales Executive,Low Satisfaction,Divorced,5454,4009,5,Yes,21,Outstanding Performance,High Satisfaction,1,9,2,Good Balance,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,College Graduate,Medical,High Satisfaction,Male,79,Moderate Involvement,Mid Level,Healthcare Representative,Low Satisfaction,Married,9884,8302,2,Yes,13,Excellent Performance,High Satisfaction,1,10,3,Better Balance,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,Bachelor’s Degree,Marketing,High Satisfaction,Female,47,Moderate Involvement,Junior Level,Sales Executive,Very High Satisfaction,Married,4157,21436,7,Yes,19,Excellent Performance,High Satisfaction,1,5,2,Good Balance,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,College Graduate,Life Sciences,Low Satisfaction,Female,98,High Involvement,Mid Level,Research Director,Very High Satisfaction,Single,13458,15146,1,Yes,12,Excellent Performance,High Satisfaction,0,15,1,Better Balance,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,Doctorate,Life Sciences,Moderate Satisfaction,Male,71,High Involvement,Mid Level,Sales Executive,Low Satisfaction,Married,9069,11031,1,No,22,Outstanding Performance,Very High Satisfaction,1,9,3,Good Balance,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,Master’s Degree,Medical,High Satisfaction,Female,30,High Involvement,Entry Level,Laboratory Technician,Low Satisfaction,Married,4014,16002,3,Yes,15,Excellent Performance,High Satisfaction,1,4,3,Better Balance,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,Master’s Degree,Life Sciences,Very High Satisfaction,Male,48,High Involvement,Junior Level,Laboratory Technician,Very High Satisfaction,Divorced,5915,9528,3,No,22,Outstanding Performance,Very High Satisfaction,1,10,3,Good Balance,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,Master’s Degree,Life Sciences,Low Satisfaction,Male,51,Moderate Involvement,Junior Level,Manufacturing Director,High Satisfaction,Divorced,5993,2689,1,No,18,Excellent Performance,High Satisfaction,1,7,2,Excellent Balance,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,Bachelor’s Degree,Medical,Low Satisfaction,Male,33,High Involvement,Junior Level,Manufacturing Director,Very High Satisfaction,Married,6162,10877,1,Yes,22,Outstanding Performance,Moderate Satisfaction,1,9,3,Better Balance,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,Doctorate,Life Sciences,Very High Satisfaction,Female,50,High Involvement,Junior Level,Laboratory Technician,Very High Satisfaction,Single,2406,5456,1,No,11,Excellent Performance,Very High Satisfaction,0,10,2,Better Balance,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,College Graduate,Medical,Moderate Satisfaction,Female,43,Moderate Involvement,Executive Level,Research Director,High Satisfaction,Divorced,18740,16701,5,Yes,12,Excellent Performance,Very High Satisfaction,1,29,2,Good Balance,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,Bachelor’s Degree,Life Sciences,Low Satisfaction,Female,99,High Involvement,Mid Level,Sales Executive,Low Satisfaction,Single,7637,2354,7,No,11,Excellent Performance,Very High Satisfaction,0,28,3,Good Balance,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,Bachelor’s Degree,Technical Degree,High Satisfaction,Female,59,High Involvement,Mid Level,Healthcare Representative,High Satisfaction,Divorced,10096,8202,1,No,13,Excellent Performance,Moderate Satisfaction,3,17,2,Better Balance,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,Bachelor’s Degree,Medical,Very High Satisfaction,Female,33,High Involvement,Senior Level,Manager,High Satisfaction,Divorced,14756,19730,2,Yes,14,Excellent Performance,High Satisfaction,3,21,2,Better Balance,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,Bachelor’s Degree,Life Sciences,Moderate Satisfaction,Male,95,Moderate Involvement,Junior Level,Manufacturing Director,Moderate Satisfaction,Single,6499,22656,1,No,13,Excellent Performance,High Satisfaction,0,6,3,Better Balance,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,Bachelor’s Degree,Life Sciences,Moderate Satisfaction,Male,59,High Involvement,Mid Level,Research Scientist,Low Satisfaction,Divorced,9724,18787,2,No,17,Excellent Performance,High Satisfaction,1,25,2,Better Balance,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,Bachelor’s Degree,Medical,Moderate Satisfaction,Male,79,High Involvement,Entry Level,Research Scientist,Low Satisfaction,Married,2194,5868,4,No,13,Excellent Performance,Very High Satisfaction,1,5,2,Good Balance,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor’s Degree,Medical,Very High Satisfaction,Male,79,Moderate Involvement,Entry Level,Research Scientist,High Satisfaction,Married,3388,21777,0,Yes,17,Excellent Performance,Low Satisfaction,1,2,0,Good Balance,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,High School or Below,Life Sciences,Low Satisfaction,Female,57,Moderate Involvement,Junior Level,Sales Executive,High Satisfaction,Single,5473,24668,7,No,11,Excellent Performance,Very High Satisfaction,0,20,2,Good Balance,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,Bachelor’s Degree,Life Sciences,High Satisfaction,Male,76,High Involvement,Entry Level,Research Scientist,Moderate Satisfaction,Married,2703,4956,0,No,23,Outstanding Performance,Very High Satisfaction,1,6,3,Better Balance,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,Master’s Degree,Medical,High Satisfaction,Male,87,High Involvement,Entry Level,Research Scientist,Moderate Satisfaction,Single,2501,18775,1,No,17,Excellent Performance,Moderate Satisfaction,0,1,4,Better Balance,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,Bachelor’s Degree,Life Sciences,Moderate Satisfaction,Male,66,High Involvement,Junior Level,Research Scientist,Moderate Satisfaction,Married,6220,7346,1,No,17,Excellent Performance,Moderate Satisfaction,2,10,3,Better Balance,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,Bachelor’s Degree,Life Sciences,Moderate Satisfaction,Female,55,Very High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Married,3038,22002,3,No,12,Excellent Performance,Moderate Satisfaction,0,5,3,Better Balance,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,Master’s Degree,Life Sciences,High Satisfaction,Female,61,High Involvement,Junior Level,Manufacturing Director,Very High Satisfaction,Single,4424,20682,1,No,23,Outstanding Performance,Very High Satisfaction,0,11,2,Better Balance,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,Master’s Degree,Marketing,High Satisfaction,Male,32,Moderate Involvement,Junior Level,Sales Executive,Low Satisfaction,Single,4312,23016,0,No,14,Excellent Performance,Moderate Satisfaction,0,16,2,Better Balance,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,Master’s Degree,Other,Very High Satisfaction,Male,52,High Involvement,Mid Level,Research Director,Low Satisfaction,Married,13245,15067,4,Yes,14,Excellent Performance,Moderate Satisfaction,0,17,3,Excellent Balance,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,Master’s Degree,Medical,Low Satisfaction,Male,30,High Involvement,Mid Level,Research Director,High Satisfaction,Single,13664,25258,4,No,13,Excellent Performance,Low Satisfaction,0,16,3,Excellent Balance,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,College Graduate,Medical,Moderate Satisfaction,Male,80,High Involvement,Junior Level,Human Resources,Moderate Satisfaction,Divorced,5021,10425,8,Yes,22,Outstanding Performance,Very High Satisfaction,1,16,2,Better Balance,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,High School or Below,Life Sciences,Very High Satisfaction,Male,55,Moderate Involvement,Junior Level,Laboratory Technician,Very High Satisfaction,Married,5126,15998,1,Yes,12,Excellent Performance,High Satisfaction,2,10,1,Good Balance,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,Bachelor’s Degree,Medical,Moderate Satisfaction,Male,30,Moderate Involvement,Entry Level,Research Scientist,High Satisfaction,Single,2859,26278,1,No,18,Excellent Performance,Low Satisfaction,0,6,3,Better Balance,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,College Graduate,Life Sciences,Low Satisfaction,Male,70,High Involvement,Mid Level,Sales Executive,Very High Satisfaction,Married,10239,18092,3,No,14,Excellent Performance,Very High Satisfaction,1,24,4,Better Balance,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,Bachelor’s Degree,Medical,Moderate Satisfaction,Female,79,Low Involvement,Junior Level,Research Scientist,Very High Satisfaction,Divorced,5329,15717,7,Yes,12,Excellent Performance,Very High Satisfaction,3,17,3,Better Balance,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,College Graduate,Medical,Low Satisfaction,Male,94,High Involvement,Junior Level,Manufacturing Director,Moderate Satisfaction,Married,4325,17736,1,No,15,Excellent Performance,High Satisfaction,0,5,2,Better Balance,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Male,49,Low Involvement,Mid Level,Manufacturing Director,Very High Satisfaction,Single,7260,21698,4,No,11,Excellent Performance,Low Satisfaction,0,37,3,Good Balance,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,High School or Below,Technical Degree,High Satisfaction,Male,62,High Involvement,Entry Level,Sales Representative,Low Satisfaction,Divorced,2322,9518,3,No,13,Excellent Performance,High Satisfaction,1,3,3,Better Balance,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,Master’s Degree,Life Sciences,Very High Satisfaction,Male,96,High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Married,2075,18725,3,No,23,Outstanding Performance,Moderate Satisfaction,2,10,4,Better Balance,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,Bachelor’s Degree,Life Sciences,High Satisfaction,Male,99,Moderate Involvement,Junior Level,Healthcare Representative,Very High Satisfaction,Married,4152,15830,1,No,19,Excellent Performance,Low Satisfaction,3,11,3,Better Balance,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,College Graduate,Medical,High Satisfaction,Male,64,Moderate Involvement,Mid Level,Sales Executive,Very High Satisfaction,Single,9619,13596,1,No,16,Excellent Performance,Very High Satisfaction,0,9,3,Better Balance,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,Master’s Degree,Life Sciences,High Satisfaction,Male,78,Moderate Involvement,Senior Level,Healthcare Representative,Moderate Satisfaction,Married,13503,14115,1,No,22,Outstanding Performance,Very High Satisfaction,1,22,3,Good Balance,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,Master’s Degree,Marketing,High Satisfaction,Male,71,High Involvement,Junior Level,Sales Executive,Very High Satisfaction,Single,5441,8423,0,Yes,22,Outstanding Performance,Very High Satisfaction,0,11,2,Poor Balance,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,College Graduate,Medical,High Satisfaction,Female,63,Moderate Involvement,Junior Level,Sales Executive,Moderate Satisfaction,Divorced,5209,19760,1,Yes,12,Excellent Performance,Moderate Satisfaction,3,11,4,Good Balance,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,Bachelor’s Degree,Medical,High Satisfaction,Male,40,Moderate Involvement,Mid Level,Healthcare Representative,Low Satisfaction,Married,10673,3142,2,Yes,13,Excellent Performance,High Satisfaction,1,21,5,Good Balance,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,Master’s Degree,Medical,Moderate Satisfaction,Male,87,High Involvement,Junior Level,Sales Executive,High Satisfaction,Single,5010,24301,1,No,16,Excellent Performance,Low Satisfaction,0,12,0,Better Balance,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,Master’s Degree,Technical Degree,Low Satisfaction,Female,60,High Involvement,Mid Level,Research Director,High Satisfaction,Married,13549,24001,9,No,12,Excellent Performance,Low Satisfaction,1,16,5,Poor Balance,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,College Graduate,Other,Low Satisfaction,Female,33,High Involvement,Junior Level,Sales Executive,High Satisfaction,Married,4999,17519,0,No,21,Outstanding Performance,Low Satisfaction,1,4,2,Good Balance,3,2,0,2
28,No,Non-Travel,120,Sales,4,Bachelor’s Degree,Medical,Moderate Satisfaction,Male,43,High Involvement,Junior Level,Sales Executive,High Satisfaction,Married,4221,8863,1,No,15,Excellent Performance,Moderate Satisfaction,0,5,3,Excellent Balance,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,Master’s Degree,Medical,Very High Satisfaction,Male,37,High Involvement,Senior Level,Sales Executive,High Satisfaction,Single,13872,24409,0,No,13,Excellent Performance,High Satisfaction,0,38,1,Good Balance,37,10,1,8
